"reservatorio","data","afluencia","defluencia","nivel","volume_util"
"FURNAS","2010-08-23",285.52,917,764.69,74.2
"FURNAS","2010-08-30",285.52,917,764.69,74.2
"FURNAS","2010-09-06",245.35,756,763.99,69.15
"FURNAS","2010-09-13",270.02,950,763.69,67.06
"FURNAS","2010-09-20",293.02,973,763.31,64.48
"FURNAS","2010-09-27",312.06,966,762.95,62.05
"FURNAS","2010-10-04",581.9,765,762.76,60.83
"FURNAS","2010-10-11",432.8,799,762.51,59.18
"FURNAS","2010-10-18",362.54,938,762.22,57.29
"FURNAS","2010-10-25",301.59,1073,761.84,54.83
"FURNAS","2010-11-01",479.74,853,761.54,52.94
"FURNAS","2010-11-08",619.93,819,761.4,52.1
"FURNAS","2010-11-15",784.81,959,761.36,51.8
"FURNAS","2010-11-22",879.27,1153,761.27,51.28
"FURNAS","2010-11-29",1352,1103,761.42,52.2
"FURNAS","2010-12-06",1450,1077,761.56,53.07
"FURNAS","2010-12-13",925,1298,761.62,53.44
"FURNAS","2010-12-20",1457,1333,761.88,55.06
"FURNAS","2010-12-27",1695,786,762.06,56.21
"FURNAS","2011-01-03",2120.87,813,762.7,60.41
"FURNAS","2011-01-10",2926.74,1050,763.93,68.71
"FURNAS","2011-01-17",4630.11,883,765.38,79.27
"FURNAS","2011-01-24",2556.84,892,766.46,87.52
"FURNAS","2011-01-31",1308,774,766.91,91.1
"FURNAS","2011-02-07",1084.67,693,767.12,92.76
"FURNAS","2011-02-14",923.19,760,767.23,93.66
"FURNAS","2011-02-21",835.36,868,767.36,94.73
"FURNAS","2011-02-28",1220.78,568,767.45,95.5
"FURNAS","2011-03-07",3082.97,2267,767.76,98.03
"FURNAS","2011-03-14",2342.61,2669,767.98,99.84
"FURNAS","2011-03-21",1433.33,1825,767.76,98.07
"FURNAS","2011-03-28",1191.42,1681,767.79,98.28
"FURNAS","2011-04-04",1255.22,733,767.92,99.36
"FURNAS","2011-04-11",1086.19,923,767.94,99.51
"FURNAS","2011-04-18",837.53,1066,767.91,99.23
"FURNAS","2011-04-25",832,832,767.9,99.13
"FURNAS","2011-05-02",807.08,905,767.88,99.03
"FURNAS","2011-05-09",690.44,821,767.87,98.97
"FURNAS","2011-05-16",615.56,485,767.89,99.12
"FURNAS","2011-05-23",686.19,523,767.91,99.26
"FURNAS","2011-05-30",488.61,815,767.88,99.02
"FURNAS","2011-06-06",621.61,948,767.76,98.03
"FURNAS","2011-06-13",761.81,925,767.67,97.3
"FURNAS","2011-06-20",560.42,1050,767.49,95.82
"FURNAS","2011-06-27",538.81,702,767.34,94.59
"FURNAS","2011-07-04",614.61,941,767.18,93.28
"FURNAS","2011-07-11",520.61,847,767.06,92.3
"FURNAS","2011-07-18",508.88,823,766.96,91.5
"FURNAS","2011-07-25",509.88,824,766.82,90.39
"FURNAS","2011-08-01",471.88,786,766.67,89.21
"FURNAS","2011-08-08",385.82,857,766.48,87.71
"FURNAS","2011-08-15",333.82,805,766.27,86.06
"FURNAS","2011-08-22",344.82,816,766.03,84.17
"FURNAS","2011-08-29",292.46,892,765.76,82.12
"FURNAS","2011-09-05",243.46,843,765.44,79.72
"FURNAS","2011-09-12",362.46,962,765.15,77.54
"FURNAS","2011-09-19",322.44,753,764.89,75.61
"FURNAS","2011-09-26",199.93,774,764.64,73.81
"FURNAS","2011-10-03",398.93,973,764.31,71.44
"FURNAS","2011-10-10",396.41,1114,764,69.2
"FURNAS","2011-10-17",859,723,763.83,68.04
"FURNAS","2011-10-24",373.01,781,763.79,67.77
"FURNAS","2011-10-31",400.01,672,763.58,66.34
"FURNAS","2011-11-07",416.02,1096,763.31,64.5
"FURNAS","2011-11-14",454.06,1108,762.93,61.92
"FURNAS","2011-11-21",611.43,873,762.83,61.26
"FURNAS","2011-11-28",586.64,979,762.59,59.69
"FURNAS","2011-12-05",1039.79,909,762.62,59.89
"FURNAS","2011-12-12",2211.08,1034,762.93,61.92
"FURNAS","2011-12-19",2105.95,746,763.45,65.45
"FURNAS","2011-12-26",1483.98,804,763.97,69
"FURNAS","2012-01-02",2571.74,706,764.63,73.74
"FURNAS","2012-01-09",2821.5,873,765.7,81.67
"FURNAS","2012-01-16",2350.48,1094,766.75,89.84
